"","Morphotype","IsolateID","CulturePlate","Type","MesquiteNum","PlantOrigin","Plot","PlateNum"
"1","F01","3-DICA-CAN-1-A","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1
"2","F01","3-DICA-CAN-3-B","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3
"3","F01","3-DICA-CAN-2-A","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2
"4","F01","3-DICA-CAN-3-C","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3
"5","F02","1-ERLE-OPN-1-A","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"6","F02","3-ERLE-OPN-2-A","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"7","F02","3-ERLE-OPN-1-C","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"8","F02","3-ERLE-OPN-1-A1","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"9","F03","2-DICA-CAN-1-B","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"10","F03","1-DICA-OPN-3-A","1-DICA-OPN-3","Fungi",1,"DICA","OPN",3
"11","F03","2-DICA-CAN-1-G","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"12","F03","2-DICA-CAN-3-G","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3
"13","F03","3-DICA-OPN-3-A","3-DICA-OPN-3","Fungi",3,"DICA","OPN",3
"14","F03","2-ERLE-CAN-1-A","2-ERLE-CAN-1","Fungi",2,"ERLE","CAN",1
"15","F04","1-ERLE-OPN-1-F","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"16","F04","1-ERLE-OPN-1-E","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"17","F04","1-ERLE-OPN-1-G","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"18","F05","2-ERLE-CAN-3-B","2-ERLE-CAN-3","Fungi",2,"ERLE","CAN",3
"19","F05","1-ERLE-CAN-3-C","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"20","F05","1-ERLE-CAN-3-G","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"21","F05","1-ERLE-CAN-3-C","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"22","F05","1-ERLE-CAN-3-H","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"23","F06","3-ERLE-OPN-1-A2","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"24","F06","3-DICA-OPN-2-F","3-DICA-OPN-2","Fungi",3,"DICA","OPN",2
"25","F06","1-ERLE-CAN-3-I","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3
"26","F07","3-DICA-CAN-2-C","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2
"27","F07","3-DICA-CAN-3-A","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3
"28","F07","1-DICA-CAN-2-C","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2
"29","F07","3-DICA-CAN-1-B","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1
"30","F07","3-DICA-CAN-3-D","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3
"31","F07","2-DICA-CAN-2-A","2-DICA-CAN-2","Fungi",2,"DICA","CAN",2
"32","F07","2-DICA-CAN-2-C","2-DICA-CAN-2","Fungi",2,"DICA","CAN",2
"33","F08","1-DICA-CAN-2-A","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2
"34","F08","3-ERLE-CAN-3-A","3-ERLE-CAN-3","Fungi",3,"ERLE","CAN",3
"35","F08","3-ERLE-CAN-1-A","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1
"36","F08","1-DICA-CAN-2-E","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2
"37","F08","1-DICA-CAN-2-F","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2
"38","F09","2-DICA-CAN-1-E","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"39","F09","2-DICA-CAN-1-I","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"40","F06","2-DICA-CAN-1-A","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1
"41","F10","3-ERLE-OPN-3-F","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3
"42","F11","1-DICA-OPN-2-D","1-DICA-OPN-2","Fungi",1,"DICA","OPN",2
"43","F11","1-DICA-OPN-2-H","1-DICA-OPN-2","Fungi",1,"DICA","OPN",2
"44","F11","1-DICA-OPN-1-F","1-DICA-OPN-1","Fungi",1,"DICA","OPN",1
"45","F11","1-ERLE-OPN-1-D","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"46","F12","3-ERLE-CAN-1-C","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1
"47","F12","3-ERLE-OPN-2-F01","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"48","F13","1-DICA-CAN-1-D","1-DICA-CAN-1","Fungi",1,"DICA","CAN",1
"49","F13","3-ERLE-OPN-3-D","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3
"50","F14","1-DICA-CAN-2-D","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2
"51","F14","2-DICA-CAN-2-B","2-DICA-CAN-2","Fungi",2,"DICA","CAN",2
"52","F15","3-ERLE-OPN-1-A2","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"53","F15","3-ERLE-OPN-3-A","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3
"54","F16","2-DICA-CAN-3-A","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3
"55","F16","2-DICA-CAN-3-M","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3
"56","F17","3-ERLE-OPN-2-D","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"57","F17","3-ERLE-OPN-3-H","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3
"58","F17","3-ERLE-OPN-2-E","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"59","F18","3-ERLE-OPN-2-G","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"60","F18","3-ERLE-CAN-1-D","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1
"61","F19","1-ERLE-OPN-2-A","1-ERLE-OPN-2","Fungi",1,"ERLE","OPN",2
"62","F02","3-ERLE-OPN-2-H","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"63","F21","3-ERLE-OPN-1-F","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1
"64","F22","3-ERLE-CAN-2-A","3-ERLE-CAN-2","Fungi",3,"ERLE","CAN",2
"65","F23","3-DICA-OPN-2-H","3-DICA-OPN-2","Fungi",3,"DICA","OPN",2
"66","F24","3-ERLE-OPN-3-F","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3
"67","F04","1-ERLE-OPN-1-C","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1
"68","F01","3-DICA-CAN-2-B","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2
"69","F25","3-DICA-CAN-1-G","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1
"70","F26","3-ERLE-CAN-3-B","3-ERLE-CAN-3","Fungi",3,"ERLE","CAN",3
"71","F26","1-ERLE-CAN-1-B","1-ERLE-CAN-1","Fungi",1,"ERLE","CAN",1
"72","F02","3-ERLE-CAN-3-E","3-ERLE-CAN-3","Fungi",3,"ERLE","CAN",3
"73","F11","3-ERLE-OPN-2-C","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2
"74","F23","3-ERLE-CAN-1-D","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1
"75","B08","3-ERLE-CAN-3-D","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"76","B08","3-ERLE-CAN-3-C","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"77","Other","3-ERLE-OPN-3-G","3-ERLE-OPN-3","Other",3,"ERLE","OPN",3
"78","Other","3-DICA-CAN-1-C","3-DICA-CAN-1","Other",3,"DICA","CAN",1
"79","Other","1-DICA-OPN-3-C","1-DICA-OPN-3","Other",1,"DICA","OPN",3
"80","Other","3-DICA-OPN-1-H","3-DICA-OPN-1","Other",3,"DICA","OPN",1
"81","Other","3-DICA-OPN-3-H","3-DICA-OPN-3","Other",3,"DICA","OPN",3
"82","Other","1-ERLE-CAN-3-A","1-ERLE-CAN-3","Other",1,"ERLE","CAN",3
"83","Other","1-DICA-CAN-1-B","1-DICA-CAN-1","Other",1,"DICA","CAN",1
"84","Other","1-DICA-CAN-1-C","1-DICA-CAN-1","Other",1,"DICA","CAN",1
"85","Other","1-DICA-CAN-3-D","1-DICA-CAN-3","Other",1,"DICA","CAN",3
"86","Other","2-DICA-CAN-1-H","2-DICA-CAN-1","Other",2,"DICA","CAN",1
"87","Other","3-ERLE-OPN-3-E","3-ERLE-OPN-3","Other",3,"ERLE","OPN",3
"88","No Growth","1-DICA-CAN-3-F","1-DICA-CAN-3","Other",1,"DICA","CAN",3
"89","No Growth","2-DICA-CAN-3-J","2-DICA-CAN-3","Other",2,"DICA","CAN",3
"90","B01","2-DICA-OPN-2-K","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"91","B01","2-DICA-OPN-2-F","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"92","B01","2-DICA-OPN-2-G","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"93","B01","2-DICA-OPN-2-H","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"94","B01","2-DICA-OPN-2-I","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"95","B01","2-DICA-OPN-2-J","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"96","B01","2-DICA-OPN-2-M","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"97","B01","2-DICA-OPN-2-L","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"98","B0","1-DICA-OPN-3-G","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"99","B0","1-ERLE-OPN-3-A","1-ERLE-OPN-3","Bacteria",1,"ERLE","OPN",3
"100","B0","1-DICA-CAN-1-E","1-DICA-CAN-1","Bacteria",1,"DICA","CAN",1
"101","B0","3-DICA-OPN-3-F","3-DICA-OPN-3","Bacteria",3,"DICA","OPN",3
"102","B0","3-DICA-CAN-1-D","3-DICA-CAN-1","Bacteria",3,"DICA","CAN",1
"103","B0","1-DICA-CAN-3-B","1-DICA-CAN-3","Bacteria",1,"DICA","CAN",3
"104","B0","3-DICA-OPN-3-C","3-DICA-OPN-3","Bacteria",3,"DICA","OPN",3
"105","B0","3-ERLE-OPN-2-L","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"106","B0","3-DICA-OPN-3-B","3-DICA-OPN-3","Bacteria",3,"DICA","OPN",3
"107","B0","1-DICA-OPN-2-I","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"108","B0","3-DICA-OPN-2-G","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"109","B0","3-DICA-OPN-1-B","3-DICA-OPN-1","Bacteria",3,"DICA","OPN",1
"110","B0","3-ERLE-OPN-3-B","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"111","B0","2-DICA-CAN-3-F","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"112","B0","3-DICA-OPN-1-D","3-DICA-OPN-1","Bacteria",3,"DICA","OPN",1
"113","B0","3-DICA-OPN-3-E","3-DICA-OPN-3","Bacteria",3,"DICA","OPN",3
"114","B0","2-DICA-OPN-1-K","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"115","B0","1-DICA-OPN-1-H","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"116","B0","1-DICA-OPN-2-J","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"117","B0","1-DICA-OPN-1-I","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"118","B0","1-DICA-OPN-1-A","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"119","B0","2-DICA-OPN-1-A","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"120","B02","3-DICA-OPN-1-A","3-DICA-OPN-1","Bacteria",3,"DICA","OPN",1
"121","B02","2-DICA-CAN-3-I","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"122","B02","3-ERLE-OPN-2-B","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"123","B02","2-DICA-OPN-3-H","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"124","B02","2-DICA-CAN-1-D","2-DICA-CAN-1","Bacteria",2,"DICA","CAN",1
"125","B03","3-ERLE-CAN-2-G","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"126","B03","1-DICA-CAN-1-F","1-DICA-CAN-1","Bacteria",1,"DICA","CAN",1
"127","B03","1-DICA-CAN-1-G","1-DICA-CAN-1","Bacteria",1,"DICA","CAN",1
"128","B03","3-DICA-OPN-2-B","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"129","B03","1-ERLE-OPN-2-B","1-ERLE-OPN-2","Bacteria",1,"ERLE","OPN",2
"130","B03","2-DICA-CAN-3-D","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"131","B03","1-ERLE-CAN-3-D","1-ERLE-CAN-3","Bacteria",1,"ERLE","CAN",3
"132","B0","3-ERLE-OPN-1-D","3-ERLE-OPN-1","Bacteria",3,"ERLE","OPN",1
"133","B04","1-DICA-OPN-3-B","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"134","B04","2-DICA-OPN-1-E","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"135","B04","2-DICA-OPN-1-G","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"136","B04","3-ERLE-OPN-2-G","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"137","B04","1-DICA-OPN-3-I","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"138","B04","1-ERLE-CAN-3-F","1-ERLE-CAN-3","Bacteria",1,"ERLE","CAN",3
"139","B05","2-DICA-OPN-1-H","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"140","B05","2-DICA-OPN-2-C","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"141","B05","2-DICA-OPN-2-E","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"142","B05","3-ERLE-OPN-1-B","3-ERLE-OPN-1","Bacteria",3,"ERLE","OPN",1
"143","B05","1-DICA-OPN-2-B","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"144","B0","3-ERLE-OPN-2-I","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"145","B0","1-DICA-OPN-1-B","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"146","B0","2-DICA-CAN-3-E","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"147","B0","3-DICA-OPN-2-C","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"148","B0","3-DICA-OPN-2-E","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"149","B0","1-DICA-OPN-3-E","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"150","B02","3-DICA-OPN-1-G","3-DICA-OPN-1","Bacteria",3,"DICA","OPN",1
"151","B06","1-ERLE-CAN-1-F","1-ERLE-CAN-1","Bacteria",1,"ERLE","CAN",1
"152","B06","1-ERLE-CAN-1-E","1-ERLE-CAN-1","Bacteria",1,"ERLE","CAN",1
"153","B06","2-DICA-OPN-3-K","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"154","B06","2-DICA-OPN-3-L","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"155","B06","2-DICA-OPN-3-M","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"156","B06","1-ERLE-CAN-2-C","1-ERLE-CAN-2","Bacteria",1,"ERLE","CAN",2
"157","B02","1-DICA-OPN-1-E","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"158","B02","1-DICA-OPN-2-G","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"159","B06","3-ERLE-CAN-2-C","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"160","B06","3-DICA-CAN-3-H","3-DICA-CAN-3","Bacteria",3,"DICA","CAN",3
"161","B06","2-ERLE-CAN-2-B","2-ERLE-CAN-2","Bacteria",2,"ERLE","CAN",2
"162","B06","1-ERLE-CAN-2-E","1-ERLE-CAN-2","Bacteria",1,"ERLE","CAN",2
"163","B06","3-ERLE-OPN-3-G","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"164","B06","1-ERLE-CAN-1-D","1-ERLE-CAN-1","Bacteria",1,"ERLE","CAN",1
"165","B07","2-ERLE-CAN-3-C","2-ERLE-CAN-3","Bacteria",2,"ERLE","CAN",3
"166","B07","1-DICA-OPN-1-D","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"167","B07","3-DICA-CAN-2-E","3-DICA-CAN-2","Bacteria",3,"DICA","CAN",2
"168","B07","1-DICA-OPN-1-C","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"169","B07","3-DICA-CAN-2-D","3-DICA-CAN-2","Bacteria",3,"DICA","CAN",2
"170","B07","1-DICA-OPN-3-F","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"171","B08","3-ERLE-CAN-3-F","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"172","B08","3-ERLE-CAN-3-G","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"173","B08","1-ERLE-CAN-1-C","1-ERLE-CAN-1","Bacteria",1,"ERLE","CAN",1
"174","B08","3-ERLE-CAN-2-D","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"175","B08","3-ERLE-CAN-3-H","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"176","B09","1-ERLE-CAN-2-A","1-ERLE-CAN-2","Bacteria",1,"ERLE","CAN",2
"177","B09","2-DICA-CAN-1-C","2-DICA-CAN-1","Bacteria",2,"DICA","CAN",1
"178","B09","1-DICA-CAN-1-H","1-DICA-CAN-1","Bacteria",1,"DICA","CAN",1
"179","B09","2-ERLE-CAN-3-A","2-ERLE-CAN-3","Bacteria",2,"ERLE","CAN",3
"180","B09","3-DICA-CAN-2-F","3-DICA-CAN-2","Bacteria",3,"DICA","CAN",2
"181","B09","1-ERLE-CAN-2-D","1-ERLE-CAN-2","Bacteria",1,"ERLE","CAN",2
"182","B09","3-ERLE-OPN-2-A","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"183","Other","3-ERLE-OPN-2-K","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"184","B01","2-DICA-OPN-1-D","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"185","B01","3-ERLE-CAN-3-I","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"186","B01","3-ERLE-CAN-2-H","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"187","B02","3-ERLE-OPN-3-E","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"188","B02","3-ERLE-OPN-3-F","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"189","B01","2-DICA-OPN-1-D","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"190","F27","3-ERLE-CAN-1-C","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1
"191","F27","3-ERLE-CAN-1-B","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1
"192","B01","2-DICA-CAN-3-L","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"193","B01","3-DICA-OPN-1-E","3-DICA-OPN-1","Bacteria",3,"DICA","OPN",1
"194","B01","1-DICA-CAN-3-A","1-DICA-CAN-3","Bacteria",1,"DICA","CAN",3
"195","B01","3-DICA-CAN-3-I","3-DICA-CAN-3","Bacteria",3,"DICA","CAN",3
"196","B01","2-DICA-OPN-1-M","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"197","B01","2-DICA-OPN-3-A","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"198","B01","2-DICA-OPN-3-C","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"199","B11","2-DICA-OPN-1-B","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"200","B11","2-DICA-OPN-1-I","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"201","B12","3-ERLE-OPN-1-E","3-ERLE-OPN-1","Bacteria",3,"ERLE","OPN",1
"202","B12","3-ERLE-CAN-2-E","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"203","B0","3-DICA-OPN-2-I","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"204","B02","2-DICA-CAN-3-H","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"205","B13","2-DICA-CAN-1-F","2-DICA-CAN-1","Bacteria",2,"DICA","CAN",1
"206","B13","2-DICA-OPN-3-D","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"207","B13","2-DICA-OPN-3-E","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"208","B13","2-DICA-OPN-3-F","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"209","B14","3-DICA-CAN-3-E","3-DICA-CAN-3","Bacteria",3,"DICA","CAN",3
"210","B14","1-ERLE-CAN-2-B","1-ERLE-CAN-2","Bacteria",1,"ERLE","CAN",2
"211","B14","1-ERLE-CAN-1-A","1-ERLE-CAN-1","Bacteria",1,"ERLE","CAN",1
"212","B15","3-ERLE-OPN-3-C","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"213","B15","3-ERLE-OPN-3-D","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"214","B16","1-DICA-CAN-3-C","1-DICA-CAN-3","Bacteria",1,"DICA","CAN",3
"215","B16","3-DICA-OPN-2-D","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"216","B16","2-DICA-OPN-1-L","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"217","B16","2-DICA-OPN-1-J","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"218","B16","3-ERLE-OPN-2-E","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"219","B17","2-DICA-OPN-1-C","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"220","B17","3-DICA-CAN-1-E","3-DICA-CAN-1","Bacteria",3,"DICA","CAN",1
"221","B17","2-DICA-OPN-1-F","2-DICA-OPN-1","Bacteria",2,"DICA","OPN",1
"222","B18","3-ERLE-OPN-1-G","3-ERLE-OPN-1","Bacteria",3,"ERLE","OPN",1
"223","B18","1-DICA-OPN-3-D","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"224","B18","3-DICA-OPN-3-D","3-DICA-OPN-3","Bacteria",3,"DICA","OPN",3
"225","B19","2-DICA-OPN-3-G","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"226","B19","2-DICA-OPN-3-H","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"227","B19","2-DICA-OPN-3-J","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"228","B19","3-DICA-CAN-3-F","3-DICA-CAN-3","Bacteria",3,"DICA","CAN",3
"229","B02","1-ERLE-OPN-3-B","1-ERLE-OPN-3","Bacteria",1,"ERLE","OPN",3
"230","B02","3-DICA-OPN-1-C","3-DICA-OPN-1","Bacteria",3,"DICA","OPN",1
"231","B21","3-ERLE-CAN-1-B","3-ERLE-CAN-1","Bacteria",3,"ERLE","CAN",1
"232","B21","3-DICA-OPN-2-A","3-DICA-OPN-2","Bacteria",3,"DICA","OPN",2
"233","B21","1-DICA-OPN-2-A","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"234","B22","1-DICA-OPN-3-H","1-DICA-OPN-3","Bacteria",1,"DICA","OPN",3
"235","B22","3-ERLE-OPN-3-C","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"236","B23","1-ERLE-CAN-3-E","1-ERLE-CAN-3","Bacteria",1,"ERLE","CAN",3
"237","B23","1-ERLE-OPN-3-D","1-ERLE-OPN-3","Bacteria",1,"ERLE","OPN",3
"238","B24","3-ERLE-OPN-2-E","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"239","B24","3-DICA-CAN-3-G","3-DICA-CAN-3","Bacteria",3,"DICA","CAN",3
"240","B25","3-ERLE-OPN-2-J","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"241","B25","1-DICA-OPN-2-C","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"242","B26","3-DICA-OPN-3-G","3-DICA-OPN-3","Bacteria",3,"DICA","OPN",3
"243","B27","1-ERLE-CAN-3-B","1-ERLE-CAN-3","Bacteria",1,"ERLE","CAN",3
"244","B28","3-DICA-CAN-1-F","3-DICA-CAN-1","Bacteria",3,"DICA","CAN",1
"245","B29","3-ERLE-CAN-2-F","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"246","B03","2-DICA-OPN-2-A","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"247","B31","3-ERLE-CAN-2-I","3-ERLE-CAN-2","Bacteria",3,"ERLE","CAN",2
"248","B32","1-DICA-CAN-3-E","1-DICA-CAN-3","Bacteria",1,"DICA","CAN",3
"249","B33","1-ERLE-OPN-1-B","1-ERLE-OPN-1","Bacteria",1,"ERLE","OPN",1
"250","B34","3-ERLE-OPN-2-D","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"251","B35","2-DICA-CAN-2-D","2-DICA-CAN-2","Bacteria",2,"DICA","CAN",2
"252","B36","2-DICA-CAN-3-K","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"253","B37","1-DICA-OPN-2-E","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"254","B38","2-DICA-OPN-2-B","2-DICA-OPN-2","Bacteria",2,"DICA","OPN",2
"255","B39","1-DICA-CAN-1-A","1-DICA-CAN-1","Bacteria",1,"DICA","CAN",1
"256","B04","3-ERLE-CAN-3-J","3-ERLE-CAN-3","Bacteria",3,"ERLE","CAN",3
"257","B41","3-ERLE-OPN-2-B","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"258","B42","3-ERLE-OPN-3-C","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"259","B43","1-ERLE-OPN-3-C","1-ERLE-OPN-3","Bacteria",1,"ERLE","OPN",3
"260","B44","2-DICA-CAN-3-C","2-DICA-CAN-3","Bacteria",2,"DICA","CAN",3
"261","B45","1-DICA-CAN-2-B","1-DICA-CAN-2","Bacteria",1,"DICA","CAN",2
"262","B46","3-ERLE-OPN-2-C","3-ERLE-OPN-2","Bacteria",3,"ERLE","OPN",2
"263","B46","3-ERLE-OPN-3-A","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"264","B47","3-ERLE-OPN-3-B","3-ERLE-OPN-3","Bacteria",3,"ERLE","OPN",3
"265","Other","2-DICA-OPN-3-B","2-DICA-OPN-3","Bacteria",2,"DICA","OPN",3
"266","Other","1-DICA-OPN-1-G","1-DICA-OPN-1","Bacteria",1,"DICA","OPN",1
"267","Other","1-DICA-OPN-2-F","1-DICA-OPN-2","Bacteria",1,"DICA","OPN",2
"268","Other","3-ERLE-OPN-1-F","3-ERLE-OPN-1","Bacteria",3,"ERLE","OPN",1
