ID,MesquiteNum,Plot,Cover,GrassType,SoilType,Grass,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,TotalSeeds
M1-NO-1,1,NO,Open,Native,Live,ERLE,0,0,0,1,3,3,3,4
M1-NO-2,1,NO,Open,Native,Sterile,ERLE,0,0,0,0,1,2,3,4
M1-NC-1,1,NC,Canopy,Native,Live,ERLE,0,1,1,2,5,8,10,9
M1-NC-2,1,NC,Canopy,Native,Sterile,ERLE,0,0,1,1,1,2,7,8
M1-IO-1,1,IO,Open,Invasive,Live,ERLE,0,0,0,1,3,5,5,7
M1-IO-2,1,IO,Open,Invasive,Sterile,ERLE,0,0,0,0,3,3,5,5
M1-IC-1,1,IC,Canopy,Invasive,Live,ERLE,0,0,0,0,2,3,3,3
M1-IC-2,1,IC,Canopy,Invasive,Sterile,ERLE,0,0,0,1,5,6,7,7
M1-NO-1,1,NO,Open,Native,Live,DICA,0,0,0,0,0,0,0,1
M1-NO-2,1,NO,Open,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M1-NC-1,1,NC,Canopy,Native,Live,DICA,0,0,0,0,0,0,0,0
M1-NC-2,1,NC,Canopy,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M1-IO-1,1,IO,Open,Invasive,Live,DICA,0,0,0,0,0,0,0,0
M1-IO-2,1,IO,Open,Invasive,Sterile,DICA,0,0,0,0,0,0,0,0
M1-IC-1,1,IC,Canopy,Invasive,Live,DICA,0,0,0,0,0,0,0,0
M1-IC-2,1,IC,Canopy,Invasive,Sterile,DICA,0,0,0,0,0,0,0,0
M1-NO-1,1,NO,Open,Native,Live,ERIN,3,3,3,4,4,4,4,4
M1-NO-2,1,NO,Open,Native,Sterile,ERIN,5,5,5,5,5,5,5,5
M1-NC-1,1,NC,Canopy,Native,Live,ERIN,5,5,5,5,5,5,5,4
M1-NC-2,1,NC,Canopy,Native,Sterile,ERIN,6,6,7,7,7,7,7,7
M1-IO-1,1,IO,Open,Invasive,Live,ERIN,3,3,3,3,3,3,3,3
M1-IO-2,1,IO,Open,Invasive,Sterile,ERIN,4,4,4,4,5,5,5,5
M1-IC-1,1,IC,Canopy,Invasive,Live,ERIN,4,4,4,4,4,4,4,4
M1-IC-2,1,IC,Canopy,Invasive,Sterile,ERIN,5,6,6,7,7,7,7,7
M1-NO-1,1,NO,Open,Native,Live,BOCU,0,0,0,0,1,1,1,1
M1-NO-2,1,NO,Open,Native,Sterile,BOCU,0,0,2,2,2,3,3,4
M1-NC-1,1,NC,Canopy,Native,Live,BOCU,0,0,0,0,0,1,1,2
M1-NC-2,1,NC,Canopy,Native,Sterile,BOCU,2,2,3,4,5,5,5,10
M1-IO-1,1,IO,Open,Invasive,Live,BOCU,0,0,0,0,0,1,1,0
M1-IO-2,1,IO,Open,Invasive,Sterile,BOCU,0,0,1,2,3,5,5,10
M1-IC-1,1,IC,Canopy,Invasive,Live,BOCU,0,0,0,0,0,0,0,0
M1-IC-2,1,IC,Canopy,Invasive,Sterile,BOCU,0,0,2,2,2,2,2,3
M2-NO-1,2,NO,Open,Native,Live,ERLE,0,1,1,1,2,2,2,2
M2-NO-2,2,NO,Open,Native,Sterile,ERLE,0,1,1,1,2,3,5,6
M2-NC-1,2,NC,Canopy,Native,Live,ERLE,0,0,0,0,5,6,6,4
M2-NC-2,2,NC,Canopy,Native,Sterile,ERLE,0,1,2,2,2,3,6,8
M2-IO-1,2,IO,Open,Invasive,Live,ERLE,0,0,0,0,2,3,4,2
M2-IO-2,2,IO,Open,Invasive,Sterile,ERLE,0,0,0,0,3,4,4,6
M2-IC-1,2,IC,Canopy,Invasive,Live,ERLE,0,0,1,1,7,10,10,10
M2-IC-2,2,IC,Canopy,Invasive,Sterile,ERLE,0,0,0,1,4,7,8,10
M2-NO-1,2,NO,Open,Native,Live,DICA,0,0,0,0,0,0,0,0
M2-NO-2,2,NO,Open,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M2-NC-1,2,NC,Canopy,Native,Live,DICA,0,0,1,1,1,1,2,0
M2-NC-2,2,NC,Canopy,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M2-IO-1,2,IO,Open,Invasive,Live,DICA,1,1,1,1,1,1,2,0
M2-IO-2,2,IO,Open,Invasive,Sterile,DICA,0,0,0,0,0,0,0,0
M2-IC-1,2,IC,Canopy,Invasive,Live,DICA,0,0,0,0,1,1,1,0
M2-IC-2,2,IC,Canopy,Invasive,Sterile,DICA,0,0,0,0,0,0,0,0
M2-NO-1,2,NO,Open,Native,Live,ERIN,0,0,0,0,1,1,1,1
M2-NO-2,2,NO,Open,Native,Sterile,ERIN,5,5,5,5,5,5,5,5
M2-NC-1,2,NC,Canopy,Native,Live,ERIN,2,2,2,2,2,3,3,2
M2-NC-2,2,NC,Canopy,Native,Sterile,ERIN,6,6,6,6,6,6,6,6
M2-IO-1,2,IO,Open,Invasive,Live,ERIN,0,0,0,0,0,0,0,0
M2-IO-2,2,IO,Open,Invasive,Sterile,ERIN,2,2,2,2,3,3,3,3
M2-IC-1,2,IC,Canopy,Invasive,Live,ERIN,3,3,3,3,3,3,3,2
M2-IC-2,2,IC,Canopy,Invasive,Sterile,ERIN,4,4,4,4,5,5,5,4
M2-NO-1,2,NO,Open,Native,Live,BOCU,0,0,0,0,0,0,0,1
M2-NO-2,2,NO,Open,Native,Sterile,BOCU,1,1,1,2,2,2,2,3
M2-NC-1,2,NC,Canopy,Native,Live,BOCU,1,1,1,1,1,1,1,1
M2-NC-2,2,NC,Canopy,Native,Sterile,BOCU,1,2,2,4,4,4,4,5
M2-IO-1,2,IO,Open,Invasive,Live,BOCU,0,0,0,0,0,0,1,1
M2-IO-2,2,IO,Open,Invasive,Sterile,BOCU,0,0,2,3,3,4,4,7
M2-IC-1,2,IC,Canopy,Invasive,Live,BOCU,0,1,1,1,2,2,3,3
M2-IC-2,2,IC,Canopy,Invasive,Sterile,BOCU,1,2,2,3,3,4,4,4
M3-NO-1,3,NO,Open,Native,Live,ERLE,0,0,0,2,3,3,4,5
M3-NO-2,3,NO,Open,Native,Sterile,ERLE,1,1,1,1,3,4,5,5
M3-NC-1,3,NC,Canopy,Native,Live,ERLE,1,1,1,1,5,9,9,10
M3-NC-2,3,NC,Canopy,Native,Sterile,ERLE,0,0,0,0,1,1,2,3
M3-IO-1,3,IO,Open,Invasive,Live,ERLE,1,1,1,1,1,3,3,2
M3-IO-2,3,IO,Open,Invasive,Sterile,ERLE,0,0,0,1,3,6,6,7
M3-IC-1,3,IC,Canopy,Invasive,Live,ERLE,1,1,1,1,1,1,2,3
M3-IC-2,3,IC,Canopy,Invasive,Sterile,ERLE,0,0,0,0,0,6,6,7
M3-NO-1,3,NO,Open,Native,Live,DICA,0,0,0,0,0,0,0,0
M3-NO-2,3,NO,Open,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M3-NC-1,3,NC,Canopy,Native,Live,DICA,0,1,1,2,2,2,2,0
M3-NC-2,3,NC,Canopy,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M3-IO-1,3,IO,Open,Invasive,Live,DICA,0,0,0,0,0,0,0,0
M3-IO-2,3,IO,Open,Invasive,Sterile,DICA,0,0,1,0,1,1,1,1
M3-IC-1,3,IC,Canopy,Invasive,Live,DICA,0,0,0,0,0,0,0,0
M3-IC-2,3,IC,Canopy,Invasive,Sterile,DICA,0,0,0,0,1,1,1,1
M3-NO-1,3,NO,Open,Native,Live,ERIN,3,3,3,3,3,3,3,2
M3-NO-2,3,NO,Open,Native,Sterile,ERIN,4,4,4,4,6,7,7,7
M3-NC-1,3,NC,Canopy,Native,Live,ERIN,4,4,4,4,4,4,4,3
M3-NC-2,3,NC,Canopy,Native,Sterile,ERIN,3,4,4,4,4,4,4,4
M3-IO-1,3,IO,Open,Invasive,Live,ERIN,5,8,8,8,8,8,8,9
M3-IO-2,3,IO,Open,Invasive,Sterile,ERIN,4,5,5,6,6,6,6,6
M3-IC-1,3,IC,Canopy,Invasive,Live,ERIN,5,5,5,5,5,5,5,5
M3-IC-2,3,IC,Canopy,Invasive,Sterile,ERIN,3,4,6,6,6,7,7,7
M3-NO-1,3,NO,Open,Native,Live,BOCU,0,0,0,0,0,1,1,0
M3-NO-2,3,NO,Open,Native,Sterile,BOCU,0,2,2,3,4,4,4,6
M3-NC-1,3,NC,Canopy,Native,Live,BOCU,0,0,0,0,0,0,0,3
M3-NC-2,3,NC,Canopy,Native,Sterile,BOCU,0,1,1,1,1,1,1,4
M3-IO-1,3,IO,Open,Invasive,Live,BOCU,0,0,1,1,2,2,2,3
M3-IO-2,3,IO,Open,Invasive,Sterile,BOCU,0,1,2,4,4,4,4,4
M3-IC-1,3,IC,Canopy,Invasive,Live,BOCU,0,0,0,3,3,4,3,4
M3-IC-2,3,IC,Canopy,Invasive,Sterile,BOCU,0,3,3,4,5,6,6,9