SampleID,MesquiteNum,Plot,SoilType,pH,ElectricalConductivity(dS/m),Ca(ppm),Mg(ppm),Na(ppm),K(ppm),Zn(ppm),Fe(ppm),Mn(ppm),Cu(ppm),Ni(ppm),NO3-N(ppm),PO4-P(ppm),SO4-S(ppm),B(ppm),ESP(%),CEC(meq/100g)
M1_NC_1,1,NC,Live,5.3,0.140,360,48,21,220,1.80,150,10,2.7,0.130,9.7,19,9.4,0.59,3.21,2.85
M1_NC_2,1,NC,Sterile,5,0.120,390,53,20,240,2.10,86,37,2.1,0.130,5.5,20,9.5,0.53,2.82,3.08
M1_IC_1,1,IC,Live,5.6,0.058,380,66,24,130,1.20,26,10,2.6,0.070,4.6,8.4,3.2,0.35,3.63,2.88
M1_IC_2,1,IC,Sterile,6.3,0.100,570,78,19,130,1.60,34,39,1.5,0.080,2.8,7.3,5.0,0.46,2.12,3.9
M1_NO_1,1,NO,Live,5.1,0.041,250,44,20,78,0.79,49,13,1.6,0.066,2.7,9.5,2.6,0.57,4.59,1.9
M1_NO_2,1,NO,Sterile,5.3,0.084,280,53,22,130,0.96,19,53,2.1,0.067,1.4,6.3,3.0,0.68,4.23,2.26
M1_IO_1,1,IO,Live,5.3,0.060,260,52,21,110,1.40,26,17,1.7,0.100,6.9,9.7,7.5,1.30,4.35,2.1
M1_IO_2,1,IO,Sterile,5.2,0.073,250,53,17,99,1.20,34,36,1.7,0.110,4.9,7.5,8.5,0.88,3.68,2.01
M2_NC_1,2,NC,Live,5.2,0.100,290,52,24,170,1.10,64,13,1.9,0.099,6.4,9.7,5.4,0.77,4.32,2.41
M2_NC_2,2,NC,Sterile,5.3,0.120,300,51,25,150,1.00,25,27,1.2,0.059,5.0,11,8.1,0.94,4.51,2.41
M2_IC_1,2,IC,Live,5.3,0.190,530,58,27,170,1.60,47,12,3.5,0.120,13,16,6.4,0.43,3.2,3.67
M2_IC_2,2,IC,Sterile,5.3,0.200,500,54,22,120,1.50,34,24,1.4,0.082,7,9.8,7.1,0.33,2.86,3.34
M2_NO_1,2,NO,Live,5.6,0.081,370,63,19,110,1.10,19,14,1.8,0.076,8,7.4,4.1,0.24,3.03,2.73
M2_NO_2,2,NO,Sterile,5.6,0.140,380,67,21,96,1.80,18,40,2.8,0.071,3.8,10,5.8,0.41,3.28,2.78
M2_IO_1,2,IO,Live,6.1,0.063,410,71,25,110,0.79,12,10,2.6,0.057,5.4,7.8,2.4,0.30,3.6,3.02
M2_IO_2,2,IO,Sterile,5.4,0.067,310,58,25,110,1.00,16,48,3.4,0.062,1.9,8.9,3.7,0.40,4.5,2.41
M3_NC_1,3,NC,Live,5.4,0.120,480,67,20,200,2.50,31,11,1.6,0.150,16,11,5.2,0.22,2.45,3.55
M3_NC_2,3,NC,Sterile,5.2,0.190,430,60,17,200,2.20,31,26,1.5,0.100,6.1,9.8,6.5,0.23,2.29,3.23
M3_IC_1,3,IC,Live,5.2,0.130,280,52,20,130,1.20,32,11,1.7,0.120,6.7,12,4.4,0.52,3.88,2.24
M3_IC_2,3,IC,Sterile,5.5,0.180,350,52,18,110,1.30,17,31,1.8,0.089,3.1,9.3,5.1,1.30,3.09,2.53
M3_NO_1,3,NO,Live,5.3,0.065,290,52,15,130,0.71,19,15,1.9,0.064,3.6,10,3.3,0.36,2.87,2.27
M3_NO_2,3,NO,Sterile,5,0.100,240,46,26,100,1.00,19,30,2.8,0.061,1.5,9.4,3.5,0.19,5.81,1.95
M3_IO_1,3,IO,Live,5.6,0.099,360,62,17,110,0.94,14,14,1.7,0.065,6.3,6.8,2.7,0.17,2.78,2.66
M3_IO_2,3,IO,Sterile,5.2,0.150,280,50,24,93,0.87,14,38,1.4,0.056,0.97,6.6,6.8,0.17,4.85,2.15