,SampleID,MesquiteNum,SoilType,CanopyStatus,PatchType
1,M1_NC_1,M1,Live,Mesquite,Native
2,M1_NC_2,M1,Sterile,Mesquite,Native
3,M1_IC_1,M1,Live,Mesquite,Invasive
4,M1_IC_2,M1,Sterile,Mesquite,Invasive
5,M1_NO_1,M1,Live,Open,Native
6,M1_NO_2,M1,Sterile,Open,Native
7,M1_IO_1,M1,Live,Open,Invasive
8,M1_IO_2,M1,Sterile,Open,Invasive
9,M2_NC_1,M2,Live,Mesquite,Native
10,M2_NC_2,M2,Sterile,Mesquite,Native
11,M2_IC_1,M2,Live,Mesquite,Invasive
12,M2_IC_2,M2,Sterile,Mesquite,Invasive
13,M2_NO_1,M2,Live,Open,Native
14,M2_NO_2,M2,Sterile,Open,Native
15,M2_IO_1,M2,Live,Open,Invasive
16,M2_IO_2,M2,Sterile,Open,Invasive
17,M3_NC_1,M3,Live,Mesquite,Native
18,M3_NC_2,M3,Sterile,Mesquite,Native
19,M3_IC_1,M3,Live,Mesquite,Invasive
20,M3_IC_2,M3,Sterile,Mesquite,Invasive
21,M3_NO_1,M3,Live,Open,Native
22,M3_NO_2,M3,Sterile,Open,Native
23,M3_IO_1,M3,Live,Open,Invasive
24,M3_IO_2,M3,Sterile,Open,Invasive