LitterbagNumber,LitterbagCode,Grass,Time,Plot,Mesquite#,InitialWeight.g,FinalWeight,MassLoss
D27,3_D_IO_1,D,3,IO,1,10.78,10.6,0.18
D46,3_D_IO_2,D,3,IO,2,9.78,9.6,0.18
D14,3_D_IO_3,D,3,IO,3,11.14,11.09,0.05
D11,3_D_NC_1,D,3,NC,1,10.04,9.94,0.1
D31,3_D_NC_2,D,3,NC,2,10.25,10.18,0.07
D9,3_D_NC_3,D,3,NC,3,10.53,10.5,0.03
D24,3_D_NO_1,D,3,NO,1,10.12,9.89,0.23
D19,3_D_NO_2,D,3,NO,2,10.12,10.05,0.07
D2,3_D_NO_3,D,3,NO,3,9.89,9.81,0.08
E55,3_E_IC_1,E,3,IC,1,10.33,10.21,0.12
E10,3_E_IC_2,E,3,IC,2,10.55,10.45,0.1
E31,3_E_IC_3,E,3,IC,3,9.74,9.63,0.11
E38,3_E_IO_1,E,3,IO,1,11.3,11.24,0.06
E60,3_E_IO_2,E,3,IO,2,10.25,10.13,0.12
E22,3_E_IO_3,E,3,IO,3,9.81,9.79,0.02
E13,3_E_NC_1,E,3,NC,1,11.1,10.84,0.26
E7,3_E_NC_2,E,3,NC,2,10.27,10,0.27
E11,3_E_NC_3,E,3,NC,3,10.09,9.99,0.1
E42,3_E_NO_1,E,3,NO,1,10.61,10.53,0.08
E41,3_E_NO_2,E,3,NO,2,11.11,10.95,0.16
E71,3_E_NO_3,E,3,NO,3,9.96,9.96,0
D17,3_D_IC_1,D,3,IC,1,10.2,10.12,0.08
D3,3_D_IC_3,D,3,IC,3,9.73,9.39,0.34
D60,3_D_IC_2,D,3,IC,2,9.7,9.45,0.25